commit	total_score	status	description
558f5e3	11	keep	add Button
847b6a2	17	keep	add Input
1d8116f	27	keep	add Badge
95cf9c9	38	keep	add Card
faeb342	46	keep	add Alert
7bf6413	57	keep	add Avatar
2228311	68	keep	add Toggle
489fe83	75	keep	add Tooltip
cb60c27	86	keep	add Modal
4ba531d	92	keep	add Tabs
37ffaa2	103	keep	add Dropdown
5623073	114	keep	add ProgressBar
6679317	120	keep	add Skeleton
b9d5ee8	129	keep	add Breadcrumbs
c922d8f	139	keep	add Accordion
96044bc	140	keep	improve Avatar
96044bc	139	discard	improve ProgressBar — reverted
96044bc	140	discard	improve ProgressBar — reverted
290baa0	141	keep	improve Accordion
290baa0	141	discard	improve Card — reverted
290baa0	141	discard	improve Button — reverted
290baa0	141	discard	improve Modal — reverted
d8262ee	143	keep	improve Input
441514a	144	keep	improve Skeleton
441514a	143	discard	improve Tabs — reverted
441514a	143	discard	improve Tabs — reverted
2009116	145	keep	improve Tabs
2009116	144	discard	improve Tabs — reverted
2009116	144	discard	improve Alert — reverted
0f8ba8e	145	keep	improve Alert
0f8ba8e	145	discard	improve Alert — reverted
ef2196c	146	keep	improve Alert
ef2196c	144	discard	improve Alert — reverted
ef2196c	146	discard	improve Skeleton — reverted
594cc43	146	keep	improve Skeleton
594cc43	146	discard	improve Skeleton — reverted
594cc43	146	discard	improve Skeleton — reverted
594cc43	146	discard	improve Skeleton — reverted
594cc43	146	discard	improve Skeleton — reverted
512d251	147	keep	improve Skeleton
512d251	146	discard	improve Skeleton — reverted
512d251	147	discard	improve Tabs — reverted
a3f1b66	147	keep	improve Tabs
a3f1b66	146	discard	improve Tabs — reverted
a3f1b66	147	discard	improve Tabs — reverted
a3f1b66	147	discard	improve Tabs — reverted
a3f1b66	147	discard	improve Tabs — reverted
a3f1b66	147	discard	improve Tabs — reverted
a3f1b66	147	discard	improve Tabs — reverted
a3f1b66	147	discard	improve Tabs — reverted
a3f1b66	147	discard	improve Tabs — reverted
a3f1b66	147	discard	improve Tabs — reverted
a3f1b66	147	discard	improve Tabs — reverted
a3f1b66	147	discard	improve Tabs — reverted
